"Name","Category","Type","Price","Stock","Image","Description","Source Image"
"Pastel Daisy Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284181/nika-arts/products/flowers/flower-01-pastel-daisy-sticks.jpg","Handmade crochet pastel daisy flower sticks.","WhatsApp Image 2026-06-12 at 22.26.01 (1).jpeg"
"Mixed Lily Bouquet","Flowers","bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284184/nika-arts/products/flowers/flower-03-mixed-lily-bouquet.jpg","Handmade crochet mixed lily bouquet.","WhatsApp Image 2026-06-12 at 22.26.01.jpeg"
"Sunflower Wrap Bouquet","Flowers","bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284187/nika-arts/products/flowers/flower-04-sunflower-wrap-bouquet.jpg","Handmade crochet sunflower wrap bouquet.","WhatsApp Image 2026-06-12 at 22.26.02 (1).jpeg"
"White Daisy Bouquet","Flowers","bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284189/nika-arts/products/flowers/flower-05-white-daisy-bouquet.jpg","Handmade crochet white daisy bouquet.","WhatsApp Image 2026-06-12 at 22.26.02 (2).jpeg"
"Tulip Daisy Bouquet","Flowers","bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284190/nika-arts/products/flowers/flower-06-tulip-daisy-bouquet.jpg","Handmade crochet tulip and daisy bouquet.","WhatsApp Image 2026-06-12 at 22.26.02 (3).jpeg"
"Single Red Rose Bouquet","Flowers","bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284191/nika-arts/products/flowers/flower-07-single-red-rose-bouquet.jpg","Handmade crochet single red rose bouquet.","WhatsApp Image 2026-06-12 at 22.26.02.jpeg"
"Bunny Flower Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284199/nika-arts/products/flowers/flower-15-bunny-sunflower-set.jpg","Handmade crochet bunny flower sticks.","WhatsApp Image 2026-06-12 at 22.26.05 (1).jpeg"
"Tulip Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284194/nika-arts/products/flowers/flower-09-tulip-sticks.jpg","Handmade crochet tulip flower sticks.","WhatsApp Image 2026-06-12 at 22.26.03 (2).jpeg"
"Sunflower Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284195/nika-arts/products/flowers/flower-10-sunflower-sticks.jpg","Handmade crochet sunflower sticks.","WhatsApp Image 2026-06-12 at 22.26.03.jpeg"
"Bunny Sunflower Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284196/nika-arts/products/flowers/flower-11-bunny-sunflower-sticks.jpg","Handmade crochet bunny sunflower sticks.","WhatsApp Image 2026-06-12 at 22.26.04 (1).jpeg"
"Pastel Rose Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284201/nika-arts/products/flowers/flower-17-pastel-rose-sticks.jpg","Handmade crochet pastel rose sticks.","WhatsApp Image 2026-06-12 at 22.26.05.jpeg"
"Red Rose Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284198/nika-arts/products/flowers/flower-14-red-rose-sticks.jpg","Handmade crochet red rose sticks.","WhatsApp Image 2026-06-12 at 22.26.04.jpeg"
"Red Daisy Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284200/nika-arts/products/flowers/flower-16-red-daisy-sticks.jpg","Handmade crochet red daisy sticks.","WhatsApp Image 2026-06-12 at 22.26.05 (2).jpeg"
"Mixed Rose Sticks","Flowers","flower sticks","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284203/nika-arts/products/flowers/flower-20-mixed-rose-bouquet.jpg","Handmade crochet mixed rose sticks.","WhatsApp Image 2026-06-12 at 22.26.06.jpeg"
"Red Rose Bouquet","Flowers","bouquet","499","10","https://res.cloudinary.com/dstjglxh3/image/upload/v1781284212/nika-arts/products/flowers/flower-30-red-rose-bouquet.jpg","Handmade crochet red rose bouquet.","WhatsApp Image 2026-06-12 at 22.26.09.jpeg"
